Tiempo (s),Angulo (grados),Posicion del Carro (m),Velocidad del Carro (m/s),Fuerza (N),Aceleracion del Carro (m/s^2),Aceleración del Péndulo (rad/s^2)
0.108,27.944576177754897,0.06952594208270715,1.0296793714968735,-13.436670160441224,-5.425939136638554,-0.22296072649321189
0.109,27.920088098068938,0.07056103464834455,1.0350925656373966,-13.404776965253852,-5.413194140523081,-0.2155342559220366
0.11,27.895588272151187,0.07160152807171023,1.040493423365677,-13.373909907693502,-5.400857728280583,-0.20851836496387538
0.111,27.87107706802652,0.0726474104093397,1.0458823376294648,-13.344029645808497,-5.388914263787836,-0.20189757073594244
0.112,27.846554832440173,0.07369867009479607,1.0512596854563778,-13.315096137062422,-5.377347826912921,-0.19565607536752838
0.113,27.8220218932538,0.07475529590581854,1.0566258110224764,-13.287027020005466,-5.366125566098549,-0.1897607332249065
0.114,27.79747856010429,0.07581727694562759,1.0619810398090517,-13.259775345218605,-5.35522878657534,-0.18419283051504762
0.115,27.772925125394142,0.07688460262519058,1.0673256795629824,-13.23329657558486,-5.344639753930841,-0.17893460534690148
0.116,27.74836186523103,0.07795726264640389,1.0726600212133088,-13.207548476266679,-5.3343416503264205,-0.17396920491548368
0.117,27.723789040318835,0.07903524698614935,1.0779843397454518,-13.182491008278603,-5.324318532142991,-0.16928064404122425
0.11800000000000001,27.6992068968024,0.08011854588118388,1.0832988950345257,-13.15808622570075,-5.314555289073943,-0.16485376508713134
0.11900000000000001,27.674615667385222,0.081207149810228,1.0886039290441207,-13.134289188856792,-5.305034009594965,-0.160670510759647
0.12,27.650015573154217,0.08230104946712759,1.0938996568995791,-13.111032652279203,-5.295727855458455,-0.15670362940230453
0.121,27.625406822274737,0.08340023576654053,1.0991862994129464,-13.088330699374358,-5.286642513367228,-0.15295922194629272
0.122,27.600789611225785,0.08450469983166187,1.1044640651213415,-13.06615250603416,-5.277765708395044,-0.14942494896915628
0.123,27.57616412545072,0.08561443298260689,1.109733150945021,-13.044468900895692,-5.269085823679519,-0.14608912656250933
0.124,27.551530539973108,0.0867294267254196,1.1149937428127081,-13.02325228310512,-5.260591867687093,-0.14294069408918755
0.125,27.52688901997955,0.08784967274167517,1.1202460162555656,-13.002476543549149,-5.2522734428574935,-0.13996918327520627
0.126,27.50223972137109,0.08897516287864633,1.125490136971162,-12.982116989475227,-5.244120715596421,-0.13716468860830464
0.127,27.477582791284842,0.09010588914000507,1.1307262613587443,-12.96215027241436,-5.236124387582285,-0.13451783901184816
0.128,27.4529183685873,0.09124184367703217,1.1359545370270954,-12.942554319315928,-5.2282756683510225,-0.132019770760855
0.129,27.42824658434082,0.09238301878030838,1.1411751032762165,-12.923308266799033,-5.220566249121055,-0.12966210160485012
0.13,27.40356756224462,0.09352940687186242,1.146388091554036,-12.904392398422559,-5.212988277819543,-0.12743690606116867
0.131,27.37888141905167,0.09468100049775173,1.1515936258893062,-12.885788084873754,-5.205534335270103,-0.12533669184119167
0.132,27.354188264962637,0.09583779232105354,1.156791823301808,-12.867477726973998,-5.19819741250172,-0.12335437737144939
0.133,27.3294882039982,0.09699977511524448,1.1619827941909464,-12.849444701400024,-5.190970889138394,-0.12148327037118214
0.134,27.30478133435077,0.09816694175794825,1.1671666427037755,-12.831673309018887,-5.183848512829096,-0.11971704744787535
0.135,27.28006774871676,0.0993392852250317,1.1723434670834534,-12.81414872573563,-5.176824379677832,-0.11804973467234767
0.136,27.255347534610433,0.10051679858503079,1.1775133599990875,-12.79685695575379,-5.169892915634114,-0.11647568909542036
0.137,27.23062077466027,0.10169947499388868,1.182676408857892,-12.779784787150296,-5.163048858804664,-0.11498958116853505
0.138,27.20588754688885,0.10288730768998922,1.1878326961005399,-12.762919749668063,-5.156287242647899,-0.11358637803137757
0.139,27.181147924977047,0.10408028998946976,1.1929822994805535,-12.746250074631815,-5.149603380013609,-0.1122613276302453
0.14,27.1564019785135,0.10527841528179831,1.1981252923285446,-12.729764656894789,-5.142992847991077,-0.11100994363174795
0.14100000000000001,27.13164977323004,0.10648167702560038,1.2032617438020745,-12.713453018726508,-5.136451473529928,-0.10982799109725057
0.14200000000000002,27.10689137122389,0.10769006874472226,1.2083917191218734,-12.697305275554244,-5.129975319798918,-0.10871147288442023
0.14300000000000002,27.082126831167365,0.10890358402451737,1.2135152797951225,-12.68131210347384,-5.12356067324911,-0.10765661674331514
0.14400000000000002,27.057356208505734,0.11012221650834385,1.2186324838264713,-12.665464708447704,-5.117204031348746,-0.10665986307529599
0.145,27.03257955564388,0.11134595989426128,1.2237433859174298,-12.649754797111264,-5.110902090958458,-0.10571785332425983
0.146,27.007796922122402,0.11257480793191603,1.2288480376547462,-12.634174549111423,-5.104651737316432,-0.10482741897062609
0.147,26.983008354783742,0.11380875441960438,1.2339464876883504,-12.618716590903636,-5.098450033604277,-0.10398557109958022
0.148,26.958213897928808,0.1150477932015038,1.239038781899416,-12.603373970937163,-5.092294211065588,-0.10318949051624482
0.149,26.933413593464767,0.11629191816506286,1.244124963559066,-12.588140136160415,-5.0861816596501,-0.10243651838130836
0.15,26.908607481044335,0.11754112323854109,1.2492050734782236,-12.573008909781539,-5.080109919157608,-0.10172414734188844
0.151,26.883795598197153,0.11879540238869017,1.2542791501490804,-12.557974470221689,-5.074076670856769,-0.10105001313324331
0.152,26.858977981235483,0.12005474960983786,1.2593472211476873,-12.543009503830858,-5.06807099860684,-0.10040278940739773
0.153,26.834154664698374,0.12131915892643938,1.2644093166015125,-12.528120372559743,-5.062095453825134,-0.09978516801967331
0.154,26.809325681154437,0.12258862439610355,1.2694654696641672,-12.513314623637143,-5.056153062654618,-0.09920034126975763
0.155,26.784491061458514,0.12386314010771088,1.2745157116073367,-12.498587532296932,-5.050241943169573,-0.09864638667162554
0.156,26.759650834852295,0.1251427001796409,1.2795600719300275,-12.483934648068177,-5.044360322690844,-0.09812149252850741
0.157,26.73480502905916,0.12642729875810252,1.284598578461615,-12.46935177921083,-5.038506531587492,-0.09762395170089293
0.158,26.70995367037349,0.12771693001556156,1.289631257459034,-12.454834978006863,-5.032678997419074,-0.09715215571378157
