Tiempo (s),Ángulo (grados),Posición del Carro (m),Velocidad del Carro (m/s),Fuerza (N)
1.08,-2.69286241378823,3.4938163275046334,4.940661406673758,-4.089273243875064
1.09,-2.501682020238669,3.5431201429526524,4.930381544801905,-4.11784098541036
1.1,-2.3181599912959534,3.5923205044654822,4.920036151282997,-4.14321909178847
1.11,-2.142158329205202,3.6414168991132305,4.909639464774815,-4.163001022493783
1.12,-1.9735338492383165,3.6904090098923032,4.8992110779072595,-4.175035559839496
1.1300000000000001,-1.812140807858168,3.739296698903099,4.888768901079549,-4.179986787603754
1.1400000000000001,-1.6578304184520372,3.78808000633978,4.878330743668138,-4.177886914087667
1.1500000000000001,-1.5104516295005095,3.8367591387783793,4.867913243859907,-4.16919683599449
1.16,-1.3698510432249784,3.885334464712763,4.857532593438374,-4.154088116045514
1.17,-1.2358731648256374,3.9338065083006835,4.847204358792082,-4.132804482394056
1.18,-1.1083599807343796,3.982175950943436,4.836944264275233,-4.105276858502836
1.19,-0.9871531648044862,4.030443602300138,4.826765135670221,-4.072659301411608
1.2,-0.8720919255903459,4.078610416077286,4.816681377714761,-4.034315324452195
1.21,-0.7630132417790019,4.126677490578581,4.806707450129528,-3.990218506563988
1.22,-0.6597546438858573,4.174646032043032,4.796854146445125,-3.941831325049065
1.23,-0.5621507323579322,4.2225173845591355,4.787135251610291,-3.887953600502741
1.24,-0.4700355957178637,4.2702930077268455,4.777562316770956,-3.8294756327408725
1.25,-0.3832423871620036,4.317974472725862,4.7681464999016665,-3.766551807757542
1.26,-0.30160463873643933,4.365563442594654,4.758896986879169,-3.699968404189444
1.27,-0.22495670537138077,4.413061658220351,4.7498215625697275,-3.630283560134081
1.28,-0.1531343942836728,4.460470923900597,4.740926568024625,-3.558072808893547
1.29,-0.08597395513206753,4.507793113439519,4.732218953892215,-3.4830905693713348
1.3,-0.0233128622554979,4.555030160491824,4.7237047052305075,-3.405721563714972
1.31,0.035011333581525264,4.602184068003602,4.715390751177805,-3.3255868499340533
1.32,0.08900852542368447,4.649254987502406,4.707091949880434,-3.3195136982391897
1.33,0.13866484214253885,4.696242203079052,4.698721557664595,-3.3481419527683207
1.34,0.18402061603716782,4.743145442485247,4.6903239406194395,-3.3590270140928213
1.35,0.22513240118122238,4.789964834649704,4.681939216445726,-3.353867582559002
1.36,0.2620740566838148,4.836700908450217,4.67360738005124,-3.332712172856525
